City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,Manggar,-2.8833,108.2667,77.22,90,100,13.6,ID,2021-12-05 23:34:34
30,Pisco,-13.7,-76.2167,68.05,83,75,16.11,PE,2021-12-05 23:34:35
31,Kiri Buru,22.0833,85.35,63.73,97,100,3.58,IN,2021-12-05 23:34:35
32,Bambous Virieux,-20.3428,57.7575,78.22,78,40,8.05,MU,2021-12-05 23:34:36
33,Pacific Grove,36.6177,-121.9166,69.62,83,40,1.99,US,2021-12-05 23:34:36
34,Arraial Do Cabo,-22.9661,-42.0278,75.16,88,20,16.11,BR,2021-12-05 23:34:37
35,George Town,5.4112,100.3354,77.9,81,20,5.01,MY,2021-12-05 23:34:37
36,Baton Rouge,30.4508,-91.1545,73.85,84,1,6.91,US,2021-12-05 23:30:58
37,Tasiilaq,65.6145,-37.6368,30.16,88,99,23.15,GL,2021-12-05 23:34:38
38,Zyryanka,65.75,150.85,-44.82,97,78,5.44,RU,2021-12-05 23:34:38
39,Qaanaaq,77.484,-69.3632,20.37,82,100,6.73,GL,2021-12-05 23:34:39
40,Lebu,-37.6167,-73.65,58.46,81,0,14.0,CL,2021-12-05 23:34:39
41,Hobart,-42.8794,147.3294,67.26,57,75,4.0,AU,2021-12-05 23:31:53
42,Araouane,18.9048,-3.5265,62.24,15,67,10.11,ML,2021-12-05 23:34:39
43,Punta Arenas,-53.15,-70.9167,53.71,43,20,18.41,CL,2021-12-05 23:32:25
44,Charlestown,-32.95,151.6667,72.1,60,100,1.01,AU,2021-12-05 23:33:12
45,Pokhara,28.2333,83.9833,58.44,43,0,6.42,NP,2021-12-05 23:32:28
46,Kochevo,59.5994,54.3125,-7.96,99,87,4.45,RU,2021-12-05 23:34:40
47,Grand Gaube,-20.0064,57.6608,78.39,70,19,5.99,MU,2021-12-05 23:35:41
48,Grand-Santi,4.25,-54.3833,73.65,98,91,2.86,GF,2021-12-05 23:35:41
49,Vaini,-21.2,-175.2,84.36,84,40,11.5,TO,2021-12-05 23:35:42
50,Carnarvon,-24.8667,113.6333,77.07,69,0,17.27,AU,2021-12-05 23:35:42
51,Tallahassee,30.4383,-84.2807,63.93,91,20,4.61,US,2021-12-05 23:32:35
52,Nordfjordeid,61.9063,5.9915,37.27,91,100,5.82,NO,2021-12-05 23:35:43
53,Ushuaia,-54.8,-68.3,47.86,53,40,25.32,AR,2021-12-05 23:35:43
54,Ust-Nera,64.5667,143.2,-24.16,98,100,5.35,RU,2021-12-05 23:35:44
55,Luderitz,-26.6481,15.1594,60.49,87,0,9.55,NA,2021-12-05 23:34:58
56,Sao Filipe,14.8961,-24.4956,75.72,73,71,11.54,CV,2021-12-05 23:35:45
57,Kavieng,-2.5744,150.7967,83.52,75,96,6.67,PG,2021-12-05 23:35:45
58,Vrangel,42.7297,133.0839,40.17,87,71,2.84,RU,2021-12-05 23:35:46
59,Nagato,34.3833,131.2,44.51,73,4,5.06,JP,2021-12-05 23:35:47
60,Iqaluit,63.7506,-68.5145,10.13,66,90,15.99,CA,2021-12-05 23:35:48
61,Nortelandia,-14.4547,-56.8028,75.31,92,95,0.6,BR,2021-12-05 23:35:49
62,Nanortalik,60.1432,-45.2371,26.87,64,96,32.32,GL,2021-12-05 23:35:49
63,Kangaatsiaq,68.3065,-53.4641,28.85,84,100,22.39,GL,2021-12-05 23:35:50
64,Castro,-24.7911,-50.0119,61.92,93,80,3.09,BR,2021-12-05 23:32:20
65,Santa Cruz,-17.8,-63.1667,78.26,78,75,8.05,BO,2021-12-05 23:35:15
66,Antofagasta,-23.65,-70.4,63.68,76,58,2.51,CL,2021-12-05 23:35:50
67,Port Hardy,50.6996,-127.4199,39.2,86,90,4.61,CA,2021-12-05 23:35:51
68,Albany,42.6001,-73.9662,37.58,61,98,5.3,US,2021-12-05 23:31:09
69,Grindavik,63.8424,-22.4338,39.67,87,90,9.22,IS,2021-12-05 23:35:51
70,Souillac,-20.5167,57.5167,78.37,78,40,8.05,MU,2021-12-05 23:35:52
71,Komsomolskiy,40.4272,71.7189,38.62,80,97,6.91,UZ,2021-12-05 23:35:53
72,Constitucion,-35.3333,-72.4167,58.57,82,4,5.7,CL,2021-12-05 23:35:53
73,Husavik,66.0449,-17.3389,40.91,77,100,26.64,IS,2021-12-05 23:35:54
74,Mildura,-34.2,142.15,73.36,18,58,0.0,AU,2021-12-05 23:35:55
75,Kapaa,22.0752,-159.319,79.12,69,40,3.0,US,2021-12-05 23:35:55
76,Akureyri,65.6835,-18.0878,40.93,60,40,20.71,IS,2021-12-05 23:32:19
77,Bluff,-46.6,168.3333,55.8,52,50,17.22,NZ,2021-12-05 23:35:55
78,Mar Del Plata,-38.0023,-57.5575,63.88,78,0,15.01,AR,2021-12-05 23:32:59
79,Thompson,55.7435,-97.8558,-18.24,69,1,9.22,CA,2021-12-05 23:35:56
80,Soller,39.7662,2.7152,52.86,65,15,18.52,ES,2021-12-05 23:35:56
81,San Quintin,30.4833,-115.95,62.85,77,0,13.31,MX,2021-12-05 23:35:57
82,Lorengau,-2.0226,147.2712,86.94,72,71,16.13,PG,2021-12-05 23:35:57
83,Alice Springs,-23.7,133.8833,76.55,47,3,8.05,AU,2021-12-05 23:31:16
84,Shingu,33.7333,135.9833,52.79,84,99,3.15,JP,2021-12-05 23:35:58
85,Dongying,37.4564,118.4856,43.29,58,100,6.87,CN,2021-12-05 23:35:58
